verbLemma,surface_PP_frequency,surface_DO_frequency,surface_DO_skew,surface_ditransitive_frequency,imputed_PP_frequency,imputed_DO_frequency,imputed_DO_skew,imputed_dative_frequency,nonDative_DO_skew,projected_ditransitive_instances_by_college_age,projected_dative_instances_by_college_age
advance,324.4047619047619,32.73809523809524,0.09166666666666666,357.14285714285717,36.36185243328101,16.36904761904762,0.03773584905660377,52.73090005232863,0.0049261083743842365,125,18.45581501831502
allocate,1100.892857142857,70.53571428571429,0.06021341463414634,1171.4285714285716,854.1410098522167,61.71875000000001,0.07216494845360824,915.8597598522167,0.037037037037037035,410,320.5509159482758
allot,106.8452380952381,47.61904761904762,0.30828516377649323,154.46428571428572,92.83274785323965,41.474654377880185,0.3375,134.30740223111985,0.3333333333333333,54.0625,47.007590780891945
ask,579.7619047619048,11158.333333333334,0.9506085192697769,11738.095238095239,579.7619047619048,10204.62962962963,0.963963963963964,10784.391534391534,1,4108.333333333333,3774.5370370370365
assign,5171.130952380952,994.047619047619,0.16123581945450158,6165.178571428572,3928.070627289377,844.9404761904761,0.17708333333333334,4773.011103479854,0.10714285714285714,2157.8125,1670.5538862179487
award,1646.4285714285716,1243.154761904762,0.4302193840766299,2889.5833333333335,1621.0989010989013,1192.4137512147715,0.42342342342342343,2813.512652313673,0.6666666666666666,1011.3541666666666,984.7294283097854
barge,2.4390243902439024,0,0,2.4390243902439024,0,0,NA,0,NA,0.8536585365853658,0
bash,8.455284552845528,0,0,8.455284552845528,0.16260162601626016,0,0,0.16260162601626016,0,2.9593495934959346,0.056910569105691054
bat,3.7398373983739837,0.16260162601626016,0.041666666666666664,3.902439024390244,0,0,NA,0,NA,1.3658536585365852,0
bequeath,121.72619047619048,18.154761904761905,0.12978723404255318,139.88095238095238,120.12453007518798,14.853896103896105,0.10714285714285714,134.97842617908407,0.6666666666666666,48.95833333333333,47.24244916267942
bounce,37.202380952380956,0.5952380952380952,0.015748031496062992,37.79761904761905,8.928571428571429,0.2976190476190476,0.03225806451612903,9.226190476190476,0.010416666666666666,13.229166666666668,3.2291666666666665
bring,82484.82142857143,21163.988095238095,0.20418939872509045,103648.80952380953,36573.45855795149,19753.055555555555,0.37333333333333335,56326.514113507044,0.03278688524590164,36277.08333333333,19714.279939727465
bunt,1.7886178861788617,0,0,1.7886178861788617,0,0,NA,0,NA,0.6260162601626016,0
bus,14.959349593495935,0,0,14.959349593495935,0,0,NA,0,0,5.235772357723577,0
cable,3.4146341463414633,0.16260162601626016,0.045454545454545456,3.5772357723577235,0,0,NA,0,NA,1.2520325203252032,0
carry,2904.761904761905,40.476190476190474,0.0137429264349232,2945.2380952380954,264.7377938517179,40.476190476190474,0.02702702702702703,305.2139843279084,0,1030.8333333333333,106.82489451476793
cart,79.16666666666667,0,0,79.16666666666667,0.8928571428571429,0,0,0.8928571428571429,0,27.708333333333332,0.3125
catapult,232.4404761904762,0,0,232.4404761904762,1.4880952380952381,0,0,1.4880952380952381,0,81.35416666666667,0.5208333333333334
cede,335.4166666666667,6.5476190476190474,0.019147084421235857,341.9642857142857,319.44444444444446,4.365079365079365,0.01639344262295082,323.8095238095238,0.14285714285714285,119.6875,113.33333333333331
chuck,14.285714285714286,5.9523809523809526,0.29411764705882354,20.238095238095237,3.5714285714285716,4.464285714285714,0.5555555555555556,8.035714285714286,0.12195121951219512,7.083333333333332,2.8125
cite,17.55952380952381,4.464285714285714,0.20270270270270271,22.023809523809526,8.035714285714286,2.6785714285714284,0.25,10.714285714285715,0.15789473684210525,7.708333333333333,3.75
concede,131.54761904761907,7.142857142857143,0.05150214592274678,138.6904761904762,123.06067588325654,7.142857142857143,0.04395604395604396,130.2035330261137,0,48.54166666666667,45.57123655913979
drag,1307.4404761904761,1.1904761904761905,9.097111667045713e-4,1308.6309523809525,16.057769261550774,0.5952380952380952,0.05,16.65300735678887,6.540222367560497e-4,458.02083333333337,5.828552574876104
drive,6154.464285714286,31.547619047619047,0.005099831609333654,6186.011904761905,982.6455582232893,0,0,982.6455582232893,0,2165.1041666666665,343.92594537815125
e-mail,262.79761904761904,222.91666666666669,0.45894607843137253,485.7142857142857,251.37163561076605,218.7106918238994,0.4406779661016949,470.08232743466544,0.25,170,164.52881460213288
extend,5955.059523809524,110.11904761904762,0.018155944845183767,6065.178571428572,2956.4125295508275,110.11904761904762,0.0410958904109589,3066.531577169875,0,2122.8125,1073.2860520094562
fax,201.48809523809524,66.07142857142857,0.24694104560622915,267.5595238095238,191.31192881192882,66.07142857142857,0.248,257.3833573833574,0,93.64583333333333,90.08417508417509
feed,1523.2142857142858,2562.7976190476193,0.6272124699541117,4086.011904761905,851.2079831932774,2474.4252873563223,0.7466666666666667,3325.6332705495997,0.11764705882352941,1430.1041666666667,1163.9716446923599
ferry,185.71428571428572,0.5952380952380952,0.003194888178913738,186.30952380952382,2.3963133640553,0,0,2.3963133640553,0,65.20833333333333,0.8387096774193549
flick,32.44047619047619,14.880952380952381,0.31446540880503143,47.32142857142858,9.167960662525878,14.880952380952381,0.6119402985074627,24.048913043478258,0,16.5625,8.417119565217389
fling,35.11904761904762,4.166666666666667,0.10606060606060606,39.285714285714285,6.547619047619048,2.9761904761904763,0.3125,9.5238095238095255,0.04,13.749999999999998,3.333333333333334
flip,167.26190476190476,18.75,0.1008,186.01190476190476,28.920507596978187,15.178571428571429,0.34459459459459457,44.099079025549614,0.025210084033613446,65.10416666666666,15.434677658942364
float,47.61904761904762,3.869047619047619,0.07514450867052024,51.48809523809524,15.476190476190476,3.5714285714285716,0.1875,19.047619047619047,0.009174311926605505,18.020833333333332,6.666666666666666
fly,573.5119047619048,2.380952380952381,0.004134366925064599,575.8928571428571,7.477339045135657,0.6802721088435374,0.09090909090909091,8.157611153979195,0.0032916392363396972,201.56249999999997,2.855163903892718
forward,3102.3809523809523,208.33333333333334,0.06292700467457749,3310.714285714286,2526.681394207167,173.61111111111111,0.05952380952380952,2700.2925053182785,0.05263157894736842,1158.75,945.1023768613974
give,57422.91666666667,408598.5119047619,0.8767805230701633,466021.4285714286,49766.52777777778,366593.0574098798,0.8807339449541285,416359.5851876576,0.8461538461538461,163107.5,145725.85481568016
grant,2295.8333333333335,5502.380952380952,0.7055949927486451,7798.214285714286,2164.6428571428573,5502.380952380952,0.7295081967213115,7667.023809523809,0,2729.375,2683.458333333333
guarantee,324.4047619047619,1827.6785714285716,0.8492601299958512,2152.0833333333335,274.496336996337,1670.4589093701998,0.8854166666666666,1944.9552463665368,0.8,753.2291666666666,680.7343362282878
hand,1863.392857142857,3335.714285714286,0.6415936802335566,5199.107142857143,1821.0430194805194,3132.3170731707314,0.6416666666666667,4953.360092651251,0.8333333333333334,1819.6875,1733.6760324279378
haul,392.5595238095238,0,0,392.5595238095238,8.630952380952381,0,0,8.630952380952381,0,137.39583333333331,3.0208333333333335
heave,8.292682926829269,0.3252032520325203,0.03773584905660377,8.617886178861788,2.113821138211382,0.16260162601626016,0.07142857142857142,2.2764227642276422,0.02564102564102564,3.0162601626016254,0.7967479674796747
heft,0.4878048780487805,0,0,0.4878048780487805,0,0,NA,0,NA,0.17073170731707316,0
hit,434.8214285714286,14.583333333333334,0.03245033112582781,449.4047619047619,47.18992248062016,7.291666666666667,0.023255813953488372,54.481589147286826,0.002890173410404624,157.29166666666666,19.068556201550386
hoist,26.19047619047619,0,0,26.19047619047619,1.1904761904761905,0,0,1.1904761904761905,0,9.166666666666666,0.41666666666666663
hurl,25.297619047619047,0.2976190476190476,0.011627906976744186,25.595238095238095,3.571428571428571,0,0,3.571428571428571,0.013513513513513514,8.958333333333332,1.2499999999999998
issue,2337.7976190476193,544.3452380952381,0.1888682362660058,2882.1428571428573,2231.534090909091,521.6641865079365,0.1796875,2753.1982774170274,0.16666666666666666,1008.75,963.6193970959595
kick,246.42857142857144,6.5476190476190474,0.02588235294117647,252.97619047619048,25.000000000000004,4.166666666666666,0.14285714285714285,29.16666666666667,0.010638297872340425,88.54166666666666,10.208333333333334
lease,342.8571428571429,24.404761904761905,0.06645056726094004,367.26190476190476,327.4131274131274,20.33730158730159,0.04504504504504504,347.750429000429,0.16666666666666666,128.54166666666666,121.71265015015014
leave,5777.380952380952,4277.976190476191,0.4254424909725922,10055.357142857143,4386.529982363316,4186.955420466059,0.5287356321839081,8573.485402829374,0.07142857142857142,3519.375,3000.719890990281
lend,4517.857142857143,1328.5714285714287,0.2272449602932193,5846.428571428572,3272.778402699663,1083.8345864661655,0.25203252032520324,4356.612989165828,0.16666666666666666,2046.25,1524.81454620804
loan,848.5119047619048,708.6309523809524,0.45508409785932724,1557.142857142857,727.295918367347,695.7467532467533,0.47368421052631576,1423.0426716141003,0.09090909090909091,545,498.06493506493507
lob,11.869918699186991,1.951219512195122,0.1411764705882353,13.821138211382113,9.985804619950962,1.7560975609756098,0.14516129032258066,11.741902180926571,0.09090909090909091,4.837398373983739,4.1096657633242994
lug,52.083333333333336,0,0,52.083333333333336,0.2976190476190476,0,0,0.2976190476190476,0,18.229166666666668,0.10416666666666666
